"rt","tic"
0.473,0.725240006502854
0.807,0.713947818545576
1.14,0.745774039346578
1.474,0.779466990406102
1.807,0.768970457968848
2.141,0.781027699310766
2.474,0.743081051432647
2.808,0.73437474391545
3.141,0.790912189040309
3.475,0.7457281361435
3.808,0.720710890465789
4.142,0.766705899950315
4.475,0.730274057773782
4.808,0.734971485555469
5.142,0.722592921792002
5.475,0.717008032084133
5.809,0.748069199500497
6.142,0.727948295484478
6.476,0.741979374558767
6.809,0.737312548912466
7.143,0.752246390980629
7.476,0.721751363068898
7.81,0.739485300524842
8.143,0.744427545389613
8.477,0.70124793236056
8.81,0.779115065849168
9.144,0.738857956749437
9.477,0.73382390547851
9.811,0.736134366700121
10.145,0.717558870521074
10.479,0.759866322691638
10.812,0.751251821580597
11.146,0.738949763155594
11.479,0.752736025146798
11.813,0.741520342527983
12.146,0.729264187306058
12.479,0.715661538127168
12.813,0.731253326106121
13.146,0.753577583869901
13.479,0.756331776054603
13.813,0.729616111862992
14.146,0.746615598069682
14.48,0.734696066336999
14.813,0.732370304047695
15.147,0.743432975989582
15.48,0.766308072190302
15.814,0.751175316242133
16.147,0.760202946180879
16.481,0.758718742614679
16.814,0.74666150127276
17.148,0.766017351904139
17.481,0.715554430653318
17.814,0.75220048777755
18.148,0.722516416453538
18.481,0.71693152674567
18.815,0.758688140479293
19.148,0.7767127982214
19.482,0.730503573789174
19.815,0.745054889165017
20.15,0.727122037829068
20.484,0.695494730908071
20.817,0.740709385940265
21.151,0.771648144815086
21.484,0.720909804345795
21.818,0.70892906834234
22.151,0.727703478401394
22.485,0.727779983739858
22.818,0.735155098367782
23.152,0.714085528154811
23.485,0.725836748142873
23.819,0.664800789116334
24.152,0.722118588693525
24.485,0.738230612974033
24.819,0.746998124762002
25.152,0.739041569561751
25.486,0.848566612106741
25.819,0.887599635791048
26.153,0.963554135818057
26.486,1.02120855888449
26.819,0.989565950895799
27.153,1.07669023033855
27.486,1.10724646252105
27.82,1.11044438566884
28.153,1.10723116145335
28.487,1.04772530919609
28.82,0.996420829222169
29.153,1.0014395794254
29.487,0.965849295971975
29.82,0.940434222534251
30.155,0.939868083029618
30.489,0.886084830089462
30.822,0.854840049860785
31.156,0.873231933227518
31.489,0.891057677089618
31.823,0.892342966775813
32.156,0.859843498996327
32.49,0.871349901901305
32.823,0.882121853557029
33.157,0.893291632972766
33.49,0.848750224919054
33.823,0.897927856483681
34.157,0.855237877620797
34.49,0.83901874586644
34.824,0.8172453265396
35.157,0.917788642348922
35.491,0.844343517423531
35.824,0.886115432224847
36.157,0.836402263290973
36.491,0.862811906128728
36.824,0.87982669340311
37.157,0.875542394449129
37.491,0.845338086823562
37.824,0.809885512979368
38.158,0.78691861037249
38.491,0.811400318680954
38.825,0.754204927645306
39.158,0.788081491517142
39.492,0.76486977182718
39.825,0.761013902768597
40.16,0.783016838110829
40.493,0.779222173323017
40.827,0.829730997776917
41.16,0.840747766515725
41.494,0.844267012085067
41.827,0.866178141021142
42.161,0.829011847595355
42.494,0.875113964553731
42.828,0.821805044712051
43.161,0.841757636983449
43.494,0.854687039183857
43.828,0.813420059616402
44.161,0.797537551351287
44.495,0.779268076526095
44.828,0.802081968456045
45.162,0.814276919407199
45.495,0.776513884341393
45.829,0.761947267897857
46.162,0.729998638555312
46.496,0.825370193484471
46.829,0.805570611890001
47.163,0.803413161345318
47.496,0.790820382634152
47.829,0.750593875669807
48.163,0.750808090617506
48.496,0.739454698389456
48.829,0.7537917988176
49.163,0.800092829655982
49.496,0.764242428051776
49.83,0.769567199608867
50.165,0.756974420897701
50.498,0.784317428864716
50.832,0.789810512166428
51.165,0.773438369735142
51.499,0.767654566147268
51.832,0.754143723374535
52.166,0.729417197982986
52.499,0.723510985853569
52.833,0.79536479973891
53.166,0.749905327623632
53.5,0.775687626685983
53.833,0.72367929759819
54.167,0.741902869220303
54.5,0.719685718930372
54.834,0.730855498346108
55.167,0.744014416561908
55.501,0.761365827325531
55.834,0.720160052028848
56.167,0.743019847161876
56.501,0.786627890086327
56.834,0.764701460082559
57.168,0.716640806459506
57.501,0.742178288438773
57.835,0.715263710367155
58.168,0.762911235162503
58.502,0.74057167633103
58.835,0.748773048614365
59.169,0.739653612269462
59.502,0.709617616388516
59.835,0.768113598178052
60.17,0.736394484850898
60.504,0.743631889869588
60.837,0.765894943362597
61.171,0.709296293966967
61.504,0.75877994688545
61.837,0.732875239281557
62.171,0.741382632918748
62.504,0.723143760228942
62.838,0.756209367513061
63.171,0.76064667714397
63.505,0.748130403771268
63.838,0.734313539644679
64.172,0.74479477101424
64.505,0.738337720447883
64.839,0.719502106118058
65.172,0.752460605928328
65.505,0.757968990297732
65.839,0.739607709066384
66.172,0.719165482628817
66.506,0.746523791663525
66.839,0.737190140370923
67.173,0.764288331254854
67.506,0.734971485555469
67.84,0.708837261936184
68.173,0.785587417483218
68.506,0.778747840224541
68.84,0.732645723266165
69.173,0.741030708361814
69.507,0.73673110834014
69.84,0.745743437211193
70.175,0.758871753291607
70.509,0.759468494931625
70.842,0.71803320361955
71.176,0.734894980217005
71.509,0.728866359546046
71.842,0.74386140588498
72.176,0.743723696275745
72.509,0.730641283398409
72.843,0.728499133921419
73.176,0.717008032084133
73.51,0.750211348977488
73.843,0.736470990189362
74.177,0.747304146115857
74.51,0.71457516232098
74.844,0.708974971545419
75.177,0.768970457968848
75.511,0.749216779577456
75.844,0.804683149963819
76.178,0.742851535417256
76.511,0.705991263345325
76.845,0.712861442739387
77.178,0.743830803749594
77.512,0.736654603001676
77.845,0.715676839194861
78.178,0.728958165952202
78.512,0.743387072786503
78.845,0.715600333856397
79.179,0.769169371848854
79.512,0.703543092514478
79.846,0.743509481328046
80.181,0.764395438728704
80.514,0.746248372445055
80.848,0.722669427130466
81.181,0.708072208551544
81.515,0.748849553952829
81.848,0.744090921900372
82.182,0.706542101782265
82.515,0.745651630805036
82.849,0.744626459269619
83.182,0.723495684785876
83.516,0.728468531786033
